Meanings,English Definition,POS,J Translation
differently,In another and different manner,adv,異なって
difficult,Hard; not easy; you need to work hard to do it,adj,難しい
difficulty,Something that is hard to do,n,難しさ；困難
dig,To move material to create a hole,verb,掘る
dinner,"The main meal of the day, usually in the evening in the US",n,夕食
dirty,Not clean,adj,汚い
discover,To find something new that was not known before,verb,発見する
discovery,Learning something for the first time,n,発見
do,To act; to perform actions,verb,する
dog,Small 4-legged animal that barks kept as a pet,n,犬
door,You walk through this when you go in a room,n,ドア
double,Two times the amount or degree; twice,prep,二倍，二倍の
doubt,not being sure of something; lack of certainty,n,疑い
down,Going from a higher position to a lower position,prep,下へ；下って
draw,To create an image using pen or pencil and paper,verb,線を引く；描く
dream,"images, thoughts, and feelings that are experienced during sleep",n,夢
dress,Women's garment with a top part and a skirt,n,ドレス；ワンピース；服装
drink,To put water in your body through your mouth,verb,飲む
drive,To control a vehicle so that it moves somewhere,verb,運転する
driver,Someone who operates a vehicle,n,運転手
drop,To let something fall from your hand,verb,落とす
drug,chemical used as a medicine,n,薬
dry,Without water; not wet,adj,乾いた
during,At some point in the course of an event or thing,prep,～の間に
each,Every one of two or more things,det,各；1つ1つの
ear,Thing on either side of your head that you hear with,n,耳
early,Happening sooner than expected,adj,早い；初期の
earth,the planet we live on,n,地球
easily,without difficulty,adv,簡単に
east,The direction where the sun rises,n,東
easy,Not hard to do; not difficult,adj,簡単な；ゆったりした
eat,to put food in your mouth,verb,"食べる
"
edge,boundary of a surface,n,端；ふち
educate,to teach someone in a school or college,verb,教育する
educational,Intended to teach or inform,adj,教育の
egg,hard-shelled thing from which a young bird is born,n,卵
eight,8,num,8
eighteen,18,num,18
eighty,80,num,80
either,one of two (used when there is a choice of two),adj,どちらか
else,otherwise; if you fail to...,adv,その他に；さもないと
elsewhere,In or to another or different place,adv,どこか他の所で
employ,To pay a person to work for you; to give a job to,verb,雇う
employee,person who works for someone else for payment,n,従業員
employer,person or firm that hires workers,n,雇用主
employment,act of employing someone,n,雇用
empty,Containing nothing; with no contents,adj,空っぽの
engine,machine that changes energy into mechanical motion,n,エンジン
enjoy,To take pleasure in something,verb,楽しむ
enough,Equal to what is needed; as much as required,adj,十分な，十分に
enter,To go into a room,verb,入る
especially,More than usual; extremely,adv,特に
even,(when this is surprising) as well; too,adv,更に
evening,The last part of the day and early part of the night,n ,夕方；晩
ever,At any time; at all times in the future,adv,今までに；絶対に；ずっと；いつか；いったい
every,Including each person or thing in a group,det,すべての；毎～
everybody,Every person; everyone,pron,みんな；誰でも
everyday,Used or seen daily; suitable for daily use; ordinary,adj,毎日；日常の
everyone,Every person; everybody,pron,みんな；誰でも
everything,All of the things mentioned,pron,すべてのこと・もの
everywhere,Every place,adv,どこでも；どこで～しても
exact,Completely correct; accurate; specific,adj,正確な
exactly,No more and no less than; precisely,adv,正確に
except,Not including; other than,prep,～を除いて；～以外
excite,"To make someone feel happy, interested or eager",verb,刺激する；興奮させる
excitement,When people feel very happy and enthusiastic,n,興奮；刺激
excuse,"to allow someone not to do (jury service, etc)",verb,免除する
expect,To believe something is probably going to happen,verb,予期する；期待する
expectation,belief or hope that something is going to happen,n,予想；期待
expensive,Costing a lot of money,adj,値段が高い
experience,"knowledge gained by living life, doing new things",n,経験
explain,To make clear or easy to understand by describing,verb,説明する
explanation,details or reasons given to make something clear,n,説明
express,To state or show what you think or how you feel,verb,表す；述べる
expression,act of making your thoughts and feelings known,n,表現；表情
extra,More than necessary; additional,adj,余分の，余分なもの
eye,The part of the body that you see with,n,目
face,"front part of the head where eyes, nose, and mouth are",n,顔
fact,something that is known or proved to be true,n,事実
fair,Treating all people the same way,adj,公正な；公平な
fairly,quite; pretty; between very and a little,adv,かなり
family,a group of people who are related through blood,n,家族
far,a long way away,adj,遠い
farm,Land used for growing crops or raising animals,n,農場
farmer,person who operates a farm,n,農家の人
fast,Moving or able to move quickly,adj,速い
fat,oily part of meat,n,脂肪
father,A male parent,n,父
favorite,Most liked; best loved,adj,お気に入りの
fear,unpleasant feeling caused by being aware of danger,n,恐れ
feed,"To give food, e.g. to animals or a baby",verb,食べ物を与える
feel,To be aware of or experience an emotion or sensation,verb,感じる
few,not many; small in number,adj,少ない；ほとんどない
field,"open area of land, especially without buildings",n,野原
fifteen,15,num,15
fifty,50,num,50
fight,act of trying to hurt someone by hitting them,n,けんか；戦い
figure,to understand after thinking; work out,verb,～と考える
fill,To make something full,verb,いっぱいにする；満たす
film,movie,n,映画
final,Being the last thing in a series,adj,最後の
finally,After a long time or some difficulty,adv,最後に；やっと
find,To discover something by looking for it,verb,発見する
fine,"Good, acceptable or satisfactory",adj,十分な
finger,One of the five long parts of the hand,n,指
finish,the end of something; completion,n,終わり
fire,heat and the flame produced when burning,n,火；火事
firstly,Before anything else,adv,まず第一に
fish,animal that swims and lives in the sea,n,魚
fit,Proper or acceptable; morally or socially correct,adj,適している
five,5,num,5
fix,To make something whole or able to work again,verb,直す
flat,level; even; without curves or bumps,adj,平らな
floor,part of a room on which you stand,n,床
flower,"plant with a pretty head, e.g. a rose",n,花
fly,To travel through the air using wings,verb,羽ばたいて飛ぶ
follow,to come after someone; be guided by someone,verb,後について行く；従う
food,What people and animals eat to live,n,食物
foot,lowest part of the leg we use to stand on,n,足
football,sport where 2 teams try to kick a ball in a goal; soccer,n,サッカー
force,To use physical strength or violence to persuade,verb,強制する
forest,large area with many trees,n,森林
forget,To not remember something,verb,忘れる
form,visible shape or style; type; kind,n,形
fortunate,Having good luck,adj,幸運な
forty,40,num,40
forward,Toward what is ahead or in front,adv,前方の
found,To discover something by looking for it,verb,発見する
four,4,num,4
fourteen,14,num,14
free,Costing no money,adj,無料の
freedom,"state of being free, not being controlled",n,自由
freeze,To harden to a solid below zero degrees,verb,凍る
fresh,Newly made or gathered,adj,新しい
friday,firth day of the week; the day after Thursday,n,金曜日
friendly,Acting like a friend; kind and helpful,adv,友好的な
friendship,feeling of liking someone; good relationship,n,友情
frighten,To make someone afraid or nervous,verb,怖がらせる
from,"Starting at a particular place, time or level",prep,～から；～出身の
front,Opposite of back; the forward part of an object,adj,前面
full,Containing or holding as much as possible,adj,いっぱいの；満ちた
fully,Completely or entirely,adv,完全に；十分に
funny,Causing laughter; amusing,adj,おかしい；妙な
further,extra; in addition,adj,さらに先へ；さらにまた
game,Activity with rules that people play to have fun,n,ゲーム
garden,yard; ground outside your house to grow plants,n,庭
gas,"the elements in our air, like oxygen or nitrogen",n,ガス；気体
general,"Widespread, normal or usual",adj,一般的な；全般的な
generally,"Usually; as a rule; by, to or for most people",adv,一般に
gentle,kind and quiet in nature; not harsh or violent,adj,優しい；穏やかな
gently,"In a mild, careful, and soft manner",adv,優しく；穏やかに
get,"To obtain, receive or be given something",verb,得る；受ける
girl,A female child; a young woman,n,女の子
give,To hand over or present something to someone,verb,手渡す
glad,happy that something happened; pleased,adj,うれしい
glance,quick or temporary look,n,ちらりと見ること
glass,hard transparent material used for making windows,n,ガラス
go,To move or travel to another place,verb,行く
god,religion supernatural being with special powers ,n,神
gold,soft yellow metal that is very valuable,n,金
golden,Made of gold,adj,黄金の
good,excellent; high quality,adj,良い
govern,"To officially control and lead, conduct the policy, make decisions",verb,統治する；影響を与える
government,group of people and system which rule a nation,n,政府
governor,person who leads a state or province,n,知事
grass,"Plants with narrow green leaves, grown on lawns",n,草
greatly,an extraordinary extent or degree,adv,非常に
green,the color of young leaves,n,緑色
ground,solid surface of the earth that we stand on,verb,地面；土
group,number of people or things gathered together,n,グループ；集団
grow,To develop and become bigger or taller over time,verb,成長する
growth,act of growing,n,成長；増殖；腫瘍
guess,to give an answer without knowing if it is correct,verb,推測する
gun,weapon in which bullets are fired down a metal tube,n,銃
guy,informal man; boy; any person,n,男；やつ
hair,long thin strands on your head or body,n,髪；毛
hall,area inside the entrance of a house,n,ホール；会場
hand,body part at the end of a person's arm,n,手
handle,To have the ability to cope with or take responsibility for,verb,扱う
hang,"To attach a picture, photograph etc onto a wall",verb,かける；吊るす
happen,To take place or occur,verb,起こる；たまたま～する
happiness,state of feeling pleased; feeling of satisfaction,n,幸福；喜び；適切さ
happy,Feeling pleasure or joy; glad,adj,幸せ；嬉しい
hard,"difficult to bend, break or cut; solid",adj,かたい
hardly,Clearly or undoubtedly not; very little,adv,ほとんど～ない
hat,item of clothing worn on your head,n,帽子
hate,to have a very strong feeling of dislike for,verb,憎む；ひどく嫌う
have,"To own, possess, or hold something",aux,持っている
head,top part of your body with eyes and a mouth,n,頭
health,"(person, company) being in a good condition; being well",n,健康
healthy,in good condition physically (or financially); not ill or bad,adj,健康な
hear,To be aware of sound; to perceive with the ear,verb,聞く；聞こえる
heart,the part of the body that pumps blood,n,心臓
heat,To make hot or hotter ,verb,熱，熱くする；興奮する
heavily,a lot or to a great degree,adv,重く
heavy,Having a lot of weight,adj,重い
hell,Any place of pain and suffering,n,地獄
hello,What you say when you meet someone,itj,こんにちは
help,To act to enable a person to do something; assist,verb,助ける
helpful,Doing things that help someone,adj,役立つ
her,(Subject form of a female you are talking about),pron,彼女の；彼女を
here,"In this place; at this location, position or time",adv,ここに
herself,female person that did the original action,pron,彼女自身
hi,What you say when you meet someone,itj,やあ；こんにちは
hide,to put a thing where it can't be found; go where you won't be found,verb,隠す
high,Rising upward a great distance,adj,高い
highly,more than usual; to a great degree,adv,非常に
hill,High land not as high as a mountain,n,丘
him,Subject form of a male person you are talking about,pron,彼を
himself,the same (male) person who did the action,pron,彼自身
his,Something belonging to a male person,pron,彼の；彼のもの
historian,Someone who studies or writes about the course of history,n,歴史家
historic,Belonging to the past; of what is important or famous in the past,adj,歴史的な
historical,Connected with the past,adj,歴史的な
history,study of past event,n,歴史
hit,"To fight, attack or damage something or someone",verb,打つ；たたく
hold,To use hands or arms to carry or keep something,verb,持つ；抱く
holder,person who owns or has received something,n,所有者
hole,opening into or through something,n,穴
holiday,day when people don't go to work or school,n,休日；祝日
home,place where a person or a family lives,n,家庭；自宅
honest,"Good, truthful, sincere, or faithful; trustworthy",adj,正直
hope,when you wish something would happen; what you wish,n,希望
hopefully,in a manner wishing something to happen,adv,願わくは；うまくいけば
horrible,Very unpleasant,adj,恐ろしい
horse,large animal with 4 legs used for riding,n,馬
hospital,"building for sick people, with doctors and nurses",n,病院
hot,Having a high temperature,adj,熱い；暑い
hour,60 minutes,n,時間
house,"building in which a family, person lives",n,家
how,(used to explain the way to do something),adv,どのように
however,(used to introduce a counter statement to what has been said),conj,しかしながら；どんなに～でも；一体どうやって
huge,Very very large,adj,巨大な
human,"a person; a man, woman or child",n,人間
hundred,100,num,100
hunger,need for food; a severe lack of food,n,飢え
hunt,To search for wild animals to kill (for food),verb,狩る，狩り
hurry,To move/act quickly to get somewhere/do something,verb,急ぐ，急ぐこと
hurt,"To cause pain, damage or injury",verb,痛む；傷つける
husband,married man,n,夫
ice,"frozen gas or liquid, esp. water",n,氷
idea,"belief, thought, suggestion, opinion or plan",n,考え；アイデア
if,Introducing a condition for something to happen,conj,もし～なら；～かどうか
imagination,ability to think of new ideas; creation of mental images,n,想像力 
imagine,to think creatively about; form mental picture of,verb,想像する
important,"having a big effect on (person, the future)",adj,重要な
impossible,very unlikely to happen or exist,adj,不可能な
indeed,actually; in fact; in reality,adv,確かに
inform,To give information or facts about something,verb,知らせる
information,collection of facts and details about something,n,情報
inner,Concerning the inside part of something,adj,内側の
inside,being in something,adj,内部；内側；内情，内側の，内側に
instead,When one thing is replaced by another,adv,その代わりに
insurance,Payments to cover potential loss/damage/injury/death,n,保険
insure,to buy protection against possible loss/damage/injury,verb,保険をかける；確実にする
interest,to make someone want to know about something,verb,興味を持たせる
into,Going inside something,prep,～の中へ
involve,To have or be included as a part of something,verb,含む；関わる；巻き込む
involvement,act or process of joining in a particular activity,n,関与
island,area of land that is surrounded by water,n,島
issue,"important topic discussed, debated or argued over",n,問題；論争点
it,A thing that has been previously mentioned,pron,(先行するものを指して)それ
its,of something; belonging or related to something,adj,それの
itself,Referring to it,pron,それ自体
job,regular work of earning money,n,仕事
join,"To bring something close to another, to become one",verb,加わる；つなぎ合わせる
joke,To say or do things that are meant to be funny,verb,冗談，冗談を言う
judge,To form an opinion after careful consideration,verb,審理する；審査する；判断する
judgment,opinion that is made after careful consideration,n,判断；判決
jump,To push your body into the air with your legs,verb,跳ぶ；跳ね上がる
just,"just when, just as exactly at the time of",adv,正確に
keep,To have and continue to hold something,verb,保つ
key,Something you use to open a lock or start a car,n,かぎ，重要な
kick,hit using the foot,n,蹴る
kid,informal child or young person,n,子ども，冗談を言う
kill,To end the life of a person or other living thing,verb,殺す
kind,One type of thing,n,種類
king,royal male ruler of a country (inherited from family),n,王
kiss,To put your lips against another’s to show love,verb,キスをする，キス
kitchen,place where food is cooked,n,台所
knock,To hit something to get people's attention,verb,ノックする
know,to have knowledge of things in your mind,verb,知っている
lady,another way of saying ‘woman’,n,女性；婦人
lake,large area of water surrounded by land,n,湖
land,the earth; the ground,n,陸；土地
large,"Big; of great size; broad, tall, wide, long, or fat",adj,大きい；広い
largely,In large part; mainly or chiefly,adv,主として；大部分は
last,the one before,n,最後の
late,Happening near the end of a given time,adj,遅い
laugh,To make a happy sound when something is funny,verb,笑う，笑い
law,system or rules made by the government,n,法律；法則
lay,To put or set something down in a flat position,verb,置く；横たえる
lazy,not liking to work or make an effort; idle,adj,怠惰な
lead,to show the way or guide others,verb,導く
leader,person who is in charge of a group or task,n,リーダー
leadership,quality of being able to guide or influence others,n,リーダーシップ
learn,to get knowledge or skills by study or experience,verb,学ぶ
least,In the smallest or lowest way,adv,最も小さい；最も少ない，最も小さい；最も少ない
leave,to go away from; depart ,verb,去る
left,side of your body your heart is on,n,左
leg,Part of the body from the thigh down,n,脚
less,smaller in amount or degree,adj,より少ない，～差し引いて
let,to not stop someone from doing something,verb,～させる；許可する
letter,message you put in an envelope and send by post,n,手紙
level,To make things flat or even,verb,同等の，平等にする
lie,To say something that you know is not true,verb,嘘，嘘をつく
life,"All the living things e.g. animals, plants, humans",n,生命；人生；生活
lift,To move something to higher position,verb,持ち上げる
like,To find something pleasing; to prefer something,verb,好む
line,"mark that is long, straight and very thin",n,線，並ぶ；線を引く；覆い隠す
lip,top and bottom part of the outside of person's mouth,n,唇
list,"series of written names, words or numbers",n,表；リスト
listen,To use your ears to hear and understand things,verb,聞く
listener,Someone who listens,n,聞き手
little,"not great in size, amount, or degree; small",adj,小さい
live,To be alive,verb,生きる
load,"large, often heavy, amount of something to be moved",n,重荷；負荷，積み込む
local,"Relating or restricted to a particular area, city, or town",adj,地元の；局部の，地元の人；局部
lock,To use a key/code so others can’t open something,verb,錠やロック、鍵をかける
long,large distance from one end to the other,adj,長い
look at,to use your eyes to focus on something,vphr,見る，見ること
lose,to be unable to find something you once had,verb,失う
lot,a lot (of) many or much of,n,たくさん
loud,Making a lot of noise,adj,音が大きい；うるさい；派手な
love,To care for and like someone very strong and deeply,verb,愛する，愛
lovely,Attractive or beautiful,adj,素敵な；愛らしい
lover,person who loves someone or is loved by someone,n,恋人；愛好家
low,"not high; being near the ground, or bottom",adj,低い
